train dataset: torch.Size([1, 512, 512]) (x130200)
tval_ff dataset: torch.Size([1, 512, 512]) (x8400)
tval_bd dataset: torch.Size([1, 512, 512]) (x6720)
tval_hd_comb dataset: torch.Size([1, 512, 512]) (x5600)
tval_hd_novel dataset: torch.Size([1, 512, 512]) (x4480)
val dataset: torch.Size([1, 512, 512]) (x12600)
num params: 8.1M
epoch 64, train 0.6529|0.6227, val 0.6830|0.6089, tval_ff 0.6727|0.6183, tval_bd 0.6453|0.6708, tval_hd_comb 0.7270|0.5575, tval_hd_novel 0.7211|0.5406, 7.3m 7.8h/12.2h
epoch 65, train 0.6462|0.6360, val 0.6894|0.5878, tval_ff 0.6744|0.5817, tval_bd 0.6452|0.6615, tval_hd_comb 0.7155|0.5875, tval_hd_novel 0.6916|0.6094, 7.3m 8.0h/12.2h
epoch 66, train 0.6509|0.6378, val 0.6826|0.6083, tval_ff 0.6745|0.5717, tval_bd 0.6468|0.6625, tval_hd_comb 0.7105|0.5738, tval_hd_novel 0.6754|0.6016, 7.3m 8.1h/12.2h
epoch 67, train 0.6390|0.6378, val 0.6830|0.5883, tval_ff 0.6797|0.5875, tval_bd 0.6335|0.6854, tval_hd_comb 0.7255|0.5613, tval_hd_novel 0.6996|0.6000, 7.4m 8.2h/12.2h
epoch 68, train 0.6535|0.6360, val 0.6834|0.6100, tval_ff 0.6803|0.5858, tval_bd 0.6467|0.6604, tval_hd_comb 0.6938|0.5625, tval_hd_novel 0.6911|0.5766, 7.3m 8.3h/12.2h
epoch 69, train 0.6560|0.6213, val 0.6680|0.6100, tval_ff 0.6804|0.5758, tval_bd 0.6431|0.6948, tval_hd_comb 0.6988|0.5763, tval_hd_novel 0.6862|0.5703, 7.4m 8.4h/12.2h
epoch 70, train 0.6426|0.6507, val 0.6743|0.6078, tval_ff 0.6781|0.5808, tval_bd 0.6486|0.6833, tval_hd_comb 0.7044|0.5550, tval_hd_novel 0.6841|0.5766, 7.4m 8.6h/12.2h
epoch 71, train 0.6417|0.6502, val 0.6701|0.6167, tval_ff 0.6811|0.5792, tval_bd 0.6609|0.6354, tval_hd_comb 0.6942|0.5475, tval_hd_novel 0.6614|0.6141, 7.4m 8.7h/12.2h
epoch 72, train 0.6348|0.6769, val 0.6844|0.5922, tval_ff 0.6764|0.5967, tval_bd 0.6654|0.6271, tval_hd_comb 0.7110|0.5562, tval_hd_novel 0.6948|0.5422, 7.4m 8.8h/12.2h
epoch 73, train 0.6370|0.6440, val 0.6861|0.5939, tval_ff 0.6785|0.5842, tval_bd 0.6492|0.6656, tval_hd_comb 0.6980|0.5850, tval_hd_novel 0.6974|0.5437, 7.4m 8.9h/12.2h
epoch 74, train 0.6429|0.6360, val 0.6745|0.5972, tval_ff 0.6834|0.5608, tval_bd 0.6424|0.6604, tval_hd_comb 0.7016|0.5512, tval_hd_novel 0.6604|0.6109, 7.4m 9.1h/12.2h
epoch 75, train 0.6434|0.6391, val 0.6662|0.6156, tval_ff 0.6765|0.5933, tval_bd 0.6557|0.6562, tval_hd_comb 0.6916|0.5975, tval_hd_novel 0.6589|0.6094, 7.3m 9.2h/12.2h
