train dataset: torch.Size([1, 512, 512]) (x130200)
tval_ff dataset: torch.Size([1, 512, 512]) (x8400)
tval_bd dataset: torch.Size([1, 512, 512]) (x6720)
tval_hd_comb dataset: torch.Size([1, 512, 512]) (x5600)
tval_hd_novel dataset: torch.Size([1, 512, 512]) (x4480)
val dataset: torch.Size([1, 512, 512]) (x12600)
num params: 8.1M
epoch 82, train 0.8221|0.6844, val 0.6716|0.6056, tval_ff 0.6749|0.6033, tval_bd 0.6215|0.6896, tval_hd_comb 0.6912|0.5800, tval_hd_novel 0.6514|0.6266, 3.9m 5.4h/6.5h
epoch 83, train 0.8479|0.6636, val 0.6763|0.6233, tval_ff 0.6810|0.5850, tval_bd 0.6186|0.6562, tval_hd_comb 0.7414|0.5788, tval_hd_novel 0.7302|0.6062, 3.9m 5.4h/6.5h
epoch 84, train 0.8352|0.6804, val 0.6853|0.6150, tval_ff 0.6704|0.6275, tval_bd 0.6216|0.6896, tval_hd_comb 0.7588|0.5475, tval_hd_novel 0.7486|0.5797, 3.9m 5.5h/6.5h
epoch 85, train 0.8381|0.6738, val 0.6863|0.6350, tval_ff 0.6736|0.6192, tval_bd 0.6234|0.6865, tval_hd_comb 0.7693|0.5787, tval_hd_novel 0.7166|0.6016, 3.9m 5.6h/6.5h
epoch 86, train 0.8235|0.6702, val 0.6643|0.6289, tval_ff 0.6821|0.5700, tval_bd 0.6320|0.6958, tval_hd_comb 0.7273|0.5950, tval_hd_novel 0.7426|0.6000, 3.9m 5.6h/6.5h
epoch 87, train 0.8150|0.6853, val 0.6838|0.6089, tval_ff 0.6672|0.6192, tval_bd 0.6303|0.6833, tval_hd_comb 0.7196|0.5750, tval_hd_novel 0.6874|0.6156, 3.9m 5.7h/6.5h
epoch 88, train 0.8479|0.6587, val 0.6754|0.6094, tval_ff 0.6672|0.6075, tval_bd 0.6326|0.6813, tval_hd_comb 0.7221|0.5738, tval_hd_novel 0.7079|0.6063, 3.9m 5.8h/6.5h
epoch 89, train 0.8446|0.6778, val 0.6860|0.6083, tval_ff 0.6707|0.6292, tval_bd 0.6306|0.6615, tval_hd_comb 0.7617|0.5512, tval_hd_novel 0.7146|0.6172, 3.9m 5.8h/6.5h
epoch 90, train 0.8371|0.6738, val 0.6781|0.6233, tval_ff 0.6727|0.6083, tval_bd 0.6099|0.7073, tval_hd_comb 0.7385|0.5625, tval_hd_novel 0.7170|0.6000, 3.9m 5.9h/6.5h
epoch 91, train 0.8459|0.6618, val 0.6718|0.6028, tval_ff 0.6616|0.6200, tval_bd 0.6355|0.6958, tval_hd_comb 0.6688|0.6025, tval_hd_novel 0.6804|0.5922, 3.9m 5.9h/6.5h
epoch 92, train 0.8575|0.6498, val 0.6767|0.6222, tval_ff 0.6784|0.5925, tval_bd 0.6306|0.6865, tval_hd_comb 0.7278|0.5863, tval_hd_novel 0.6869|0.5969, 3.9m 6.0h/6.5h
epoch 93, train 0.8483|0.6600, val 0.6848|0.6028, tval_ff 0.6729|0.6133, tval_bd 0.6310|0.6740, tval_hd_comb 0.6774|0.6338, tval_hd_novel 0.7073|0.5812, 3.9m 6.1h/6.5h
epoch 94, train 0.8402|0.6636, val 0.6781|0.6061, tval_ff 0.6796|0.5992, tval_bd 0.6632|0.6313, tval_hd_comb 0.7060|0.5725, tval_hd_novel 0.6891|0.6094, 3.9m 6.1h/6.5h
epoch 95, train 0.8318|0.6702, val 0.6786|0.6239, tval_ff 0.6746|0.6150, tval_bd 0.6379|0.6615, tval_hd_comb 0.7337|0.5650, tval_hd_novel 0.6783|0.6078, 3.9m 6.2h/6.5h
epoch 96, train 0.8275|0.6773, val 0.6714|0.6194, tval_ff 0.6724|0.6100, tval_bd 0.6326|0.7073, tval_hd_comb 0.6911|0.5887, tval_hd_novel 0.6725|0.5875, 3.9m 6.3h/6.5h
epoch 97, train 0.8234|0.6764, val 0.6798|0.6450, tval_ff 0.7018|0.5858, tval_bd 0.6317|0.6958, tval_hd_comb 0.7557|0.5475, tval_hd_novel 0.6768|0.5750, 3.9m 6.3h/6.5h
epoch 98, train 0.8470|0.6582, val 0.6831|0.6061, tval_ff 0.6723|0.6025, tval_bd 0.6193|0.7000, tval_hd_comb 0.7329|0.5775, tval_hd_novel 0.6781|0.6297, 3.9m 6.4h/6.5h
epoch 99, train 0.8297|0.6680, val 0.6711|0.6300, tval_ff 0.6802|0.6133, tval_bd 0.6100|0.7010, tval_hd_comb 0.7137|0.5862, tval_hd_novel 0.6884|0.5750, 3.9m 6.5h/6.5h
epoch 100, train 0.8331|0.6724, val 0.6824|0.6106, tval_ff 0.6785|0.6158, tval_bd 0.6389|0.6917, tval_hd_comb 0.7514|0.5763, tval_hd_novel 0.7362|0.5781, 3.9m 6.5h/6.5h
