train dataset: torch.Size([1, 512, 512]) (x130200)
tval_ff dataset: torch.Size([1, 512, 512]) (x8400)
tval_bd dataset: torch.Size([1, 512, 512]) (x6720)
tval_hd_comb dataset: torch.Size([1, 512, 512]) (x5600)
tval_hd_novel dataset: torch.Size([1, 512, 512]) (x4480)
val dataset: torch.Size([1, 512, 512]) (x12600)
num params: 8.2M
epoch 36, train 0.6358|0.6253, val 0.6721|0.6089, tval_ff 0.6777|0.5625, tval_bd 0.6531|0.6208, tval_hd_comb 0.7582|0.5662, tval_hd_novel 0.6977|0.5594, 7.0m 4.2h/11.7h
epoch 37, train 0.6220|0.6458, val 0.6780|0.5956, tval_ff 0.6885|0.5750, tval_bd 0.6379|0.6292, tval_hd_comb 0.7978|0.5650, tval_hd_novel 0.7393|0.5922, 7.0m 4.3h/11.7h
epoch 38, train 0.6393|0.6187, val 0.6791|0.6028, tval_ff 0.6844|0.5633, tval_bd 0.6298|0.6448, tval_hd_comb 0.7143|0.5837, tval_hd_novel 0.6863|0.5875, 7.0m 4.4h/11.7h
epoch 39, train 0.6330|0.6307, val 0.6846|0.5950, tval_ff 0.6817|0.5650, tval_bd 0.6505|0.6312, tval_hd_comb 0.6946|0.5737, tval_hd_novel 0.6827|0.6328, 7.0m 4.5h/11.7h
epoch 40, train 0.6283|0.6409, val 0.6814|0.5911, tval_ff 0.6810|0.5392, tval_bd 0.6368|0.6354, tval_hd_comb 0.7103|0.5937, tval_hd_novel 0.7006|0.5922, 7.0m 4.7h/11.7h
epoch 41, train 0.6274|0.6449, val 0.6900|0.5917, tval_ff 0.6925|0.5633, tval_bd 0.6338|0.6427, tval_hd_comb 0.7511|0.5638, tval_hd_novel 0.6973|0.5938, 7.0m 4.8h/11.7h
epoch 42, train 0.6264|0.6391, val 0.6857|0.6022, tval_ff 0.6760|0.5683, tval_bd 0.6523|0.6240, tval_hd_comb 0.8291|0.5587, tval_hd_novel 0.7318|0.6031, 7.0m 4.9h/11.7h
epoch 43, train 0.6191|0.6507, val 0.6854|0.6044, tval_ff 0.6757|0.5850, tval_bd 0.6229|0.6510, tval_hd_comb 0.7124|0.6075, tval_hd_novel 0.6643|0.6328, 7.0m 5.0h/11.7h
epoch 44, train 0.6436|0.6196, val 0.6692|0.5933, tval_ff 0.6782|0.5508, tval_bd 0.6520|0.6229, tval_hd_comb 0.7209|0.5950, tval_hd_novel 0.6920|0.5703, 7.0m 5.1h/11.7h
epoch 45, train 0.6229|0.6333, val 0.6932|0.5978, tval_ff 0.6940|0.5675, tval_bd 0.6856|0.6063, tval_hd_comb 0.8199|0.5813, tval_hd_novel 0.7965|0.5813, 7.0m 5.2h/11.7h
epoch 46, train 0.6258|0.6378, val 0.6817|0.5900, tval_ff 0.6678|0.5825, tval_bd 0.6123|0.6719, tval_hd_comb 0.7364|0.5900, tval_hd_novel 0.6774|0.6188, 7.0m 5.4h/11.7h
epoch 47, train 0.6100|0.6520, val 0.6716|0.6139, tval_ff 0.6761|0.5675, tval_bd 0.6158|0.6521, tval_hd_comb 0.7122|0.5788, tval_hd_novel 0.6922|0.5781, 7.0m 5.5h/11.7h
epoch 48, train 0.6225|0.6524, val 0.6717|0.6000, tval_ff 0.6625|0.5808, tval_bd 0.6194|0.6531, tval_hd_comb 0.7095|0.5713, tval_hd_novel 0.7347|0.5844, 7.0m 5.6h/11.7h
epoch 49, train 0.6195|0.6573, val 0.6951|0.5850, tval_ff 0.6907|0.5617, tval_bd 0.6621|0.6135, tval_hd_comb 0.7439|0.5550, tval_hd_novel 0.7259|0.5969, 7.0m 5.7h/11.7h
epoch 50, train 0.6118|0.6382, val 0.7042|0.5961, tval_ff 0.6707|0.5817, tval_bd 0.6500|0.6250, tval_hd_comb 0.7759|0.5950, tval_hd_novel 0.7144|0.5922, 7.0m 5.8h/11.7h
epoch 51, train 0.6210|0.6569, val 0.6835|0.5978, tval_ff 0.6749|0.5742, tval_bd 0.6270|0.6552, tval_hd_comb 0.7043|0.5687, tval_hd_novel 0.7180|0.5469, 7.0m 5.9h/11.7h
epoch 52, train 0.6127|0.6493, val 0.7086|0.6044, tval_ff 0.6663|0.5892, tval_bd 0.6799|0.6177, tval_hd_comb 0.9047|0.5500, tval_hd_novel 0.7507|0.5953, 7.0m 6.1h/11.7h
epoch 53, train 0.6322|0.6444, val 0.6683|0.6133, tval_ff 0.6746|0.5683, tval_bd 0.6179|0.6594, tval_hd_comb 0.7057|0.5787, tval_hd_novel 0.6803|0.5906, 7.0m 6.2h/11.7h
epoch 54, train 0.6087|0.6498, val 0.6572|0.6172, tval_ff 0.6706|0.5975, tval_bd 0.6136|0.6542, tval_hd_comb 0.7558|0.5800, tval_hd_novel 0.7039|0.5969, 7.0m 6.3h/11.7h
epoch 55, train 0.6049|0.6751, val 0.6935|0.6128, tval_ff 0.6726|0.5658, tval_bd 0.6506|0.6427, tval_hd_comb 0.7963|0.5625, tval_hd_novel 0.6851|0.6109, 7.0m 6.4h/11.7h
epoch 56, train 0.6259|0.6458, val 0.6796|0.6011, tval_ff 0.6711|0.5692, tval_bd 0.6050|0.6698, tval_hd_comb 0.7269|0.5987, tval_hd_novel 0.6735|0.6016, 7.0m 6.5h/11.7h
epoch 57, train 0.5956|0.6618, val 0.6815|0.6178, tval_ff 0.6742|0.5800, tval_bd 0.6337|0.6604, tval_hd_comb 0.7217|0.5788, tval_hd_novel 0.6569|0.6344, 7.0m 6.6h/11.7h
epoch 58, train 0.6043|0.6720, val 0.6919|0.6100, tval_ff 0.6687|0.5817, tval_bd 0.6285|0.6458, tval_hd_comb 0.7595|0.5862, tval_hd_novel 0.6620|0.6375, 7.0m 6.8h/11.7h
